Régimen y estado;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Viviendas: Total;Total Nacional;02 Aragón;;2014M03;670
Viviendas: Total;Total Nacional;02 Aragón;;2014M02;592
Viviendas: Total;Total Nacional;02 Aragón;;2014M01;721
Viviendas: Total;Total Nacional;02 Aragón;;2013M12;571
Viviendas: Total;Total Nacional;02 Aragón;;2013M11;619
Viviendas: Total;Total Nacional;02 Aragón;;2013M10;547
Viviendas: Total;Total Nacional;02 Aragón;;2013M09;625
Viviendas: Total;Total Nacional;02 Aragón;;2013M08;562
Viviendas: Total;Total Nacional;02 Aragón;;2013M07;615
Viviendas: Total;Total Nacional;02 Aragón;;2013M06;620
Viviendas: Total;Total Nacional;02 Aragón;;2013M05;681
Viviendas: Total;Total Nacional;02 Aragón;;2013M04;545
Viviendas: Total;Total Nacional;02 Aragón;;2013M03;761
Viviendas: Total;Total Nacional;02 Aragón;;2013M02;932
Viviendas: Total;Total Nacional;02 Aragón;;2013M01;1.139
Viviendas: Total;Total Nacional;02 Aragón;;2012M12;766
Viviendas: Total;Total Nacional;02 Aragón;;2012M11;778
Viviendas: Total;Total Nacional;02 Aragón;;2012M10;632
Viviendas: Total;Total Nacional;02 Aragón;;2012M09;689
Viviendas: Total;Total Nacional;02 Aragón;;2012M08;658
Viviendas: Total;Total Nacional;02 Aragón;;2012M07;720
Viviendas: Total;Total Nacional;02 Aragón;;2012M06;664
Viviendas: Total;Total Nacional;02 Aragón;;2012M05;646
Viviendas: Total;Total Nacional;02 Aragón;;2012M04;458
Viviendas: Total;Total Nacional;02 Aragón;;2012M03;610
Viviendas: Total;Total Nacional;02 Aragón;;2012M02;770
Viviendas: Total;Total Nacional;02 Aragón;;2012M01;899
Viviendas: Total;Total Nacional;02 Aragón;;2011M12;496
Viviendas: Total;Total Nacional;02 Aragón;;2011M11;602
Viviendas: Total;Total Nacional;02 Aragón;;2011M10;620
Viviendas: Total;Total Nacional;02 Aragón;;2011M09;591
Viviendas: Total;Total Nacional;02 Aragón;;2011M08;817
Viviendas: Total;Total Nacional;02 Aragón;;2011M07;744
Viviendas: Total;Total Nacional;02 Aragón;;2011M06;721
Viviendas: Total;Total Nacional;02 Aragón;;2011M05;664
Viviendas: Total;Total Nacional;02 Aragón;;2011M04;551
Viviendas: Total;Total Nacional;02 Aragón;;2011M03;723
Viviendas: Total;Total Nacional;02 Aragón;;2011M02;917
Viviendas: Total;Total Nacional;02 Aragón;;2011M01;1.558
Viviendas: Total;Total Nacional;02 Aragón;;2010M12;861
Viviendas: Total;Total Nacional;02 Aragón;;2010M11;881
Viviendas: Total;Total Nacional;02 Aragón;;2010M10;697
Viviendas: Total;Total Nacional;02 Aragón;;2010M09;1.104
Viviendas: Total;Total Nacional;02 Aragón;;2010M08;1.364
Viviendas: Total;Total Nacional;02 Aragón;;2010M07;1.611
Viviendas: Total;Total Nacional;02 Aragón;;2010M06;1.133
Viviendas: Total;Total Nacional;02 Aragón;;2010M05;1.163
Viviendas: Total;Total Nacional;02 Aragón;;2010M04;934
Viviendas: Total;Total Nacional;02 Aragón;;2010M03;1.100
Viviendas: Total;Total Nacional;02 Aragón;;2010M02;1.131
Viviendas: Total;Total Nacional;02 Aragón;;2010M01;975
Viviendas: Total;Total Nacional;02 Aragón;;2009M12;1.018
Viviendas: Total;Total Nacional;02 Aragón;;2009M11;1.142
Viviendas: Total;Total Nacional;02 Aragón;;2009M10;1.046
